Id_bien,id_codedep_codecommune,No voie,B/T/Q,Type_voie,Voie,Code_postal,Code_ID_commune,Prefixe_section,Section,No_plan,Lot,Surface_carrez,Type local,Surface_reelle_bati,Nb_piece_principale,Nature_culture,Nature_culture_speciale,Surface_terrain
BB500_95268_3,95268,2,,RUE,ERNEST RENAN,95140,3108,,BB,500,3,"38,08",Appartement,38,2,,,
AD481_95428_198,95428,192,,AV,LA DIVISION LECLERC,95160,3133,,AD,481,198,"60,27",Appartement,60,2,,,
AE237_95428_4,95428,106,,RUE,DES CHESNEAUX,95160,3133,,AE,237,4,"39,17",Appartement,39,2,,,
AD268_95555_149,95555,128,,AV,DE CEINTURE,95210,3142,,AD,268,149,"25,46",Appartement,25,1,,,
T477_972209_66,972209,5477,F,RES,PRINCIPAUTE,97200,3164,,T,477,66,"54,59",Appartement,51,2,,,
B110_972231_3,972231,20,,RUE,DE LA BECUNE,97229,3165,,B,110,3,"57,11",Appartement,42,2,,,
BD297_01354_17,01354,53,,ALL,DES PRUNUS,1630,6,,BD,297,17,"166,98",Appartement,166,5,,,
AB22_04226_190,04226,,,RES,LE MONOIKOS,4400,98,,AB,22,190,"37,71",Appartement,39,1,,,
AD31_06073_44,06073,5710,,,FRONT DE NEIGE,6420,163,,AD,31,44,"26,48",Appartement,29,1,,,
AV119_06083_34,06083,1,,PTE,DE FRANCE,6500,149,,AV,119,34,"33,57",Appartement,33,1,,,
BT22_06083_107,06083,15,,AV,DU REQUIER,6500,149,,BT,22,107,"72,01",Appartement,74,4,,,
EH375_06088_329,06088,54,,AV,DU RAY,6100,144,,EH,375,329,"63,45",Appartement,63,4,,,
KT213_06088_39,06088,10,,RUE,DU CONGRES,6000,142,,KT,213,39,"36,4",Appartement,124,5,,,
KV247_06088_39,06088,54,,RUE,DE FRANCE,6000,142,,KV,247,39,"56,32",Appartement,60,3,,,
LB422_06088_13,06088,32,,BD,DUBOUCHAGE,6000,142,,LB,422,13,"65,28",Appartement,70,2,,,
LW146_06088_25,06088,21,,RUE,GEORGES DOUBLET,6100,144,,LW,146,25,"18,29",Appartement,20,1,,,
AC102_06149_519,06149,6,,IMP,FERNAND LEGER,6340,146,,AC,102,519,"99,84",Maison,102,5,,,
AE261_10387_10,10387,15,,RUE,LUCIEN MOREL PAYEN,10000,281,,AE,261,10,"67,29",Appartement,66,3,,,
AV7_11170_715,11170,20,,PAS,BARBEROUSSE,11430,300,,AV,7,715,"26,85",Appartement,29,2,,,
AI848_11262_10,11262,16,,BD,MARCEL SEMBAT,11100,302,,AI,848,10,"58,06",Appartement,53,3,,,
AT32_14220_11,14220,6,,QUAI,DES MARCHANDS,14800,371,,AT,32,11,"32,12",Appartement,32,1,,,
AH124_14557_309,14557,9001,,VC,RES LES RIVES DE DEAUVILLE,14800,380,,AH,124,309,"35,04",Appartement,43,1,,,
B496_18005_107,18005,27,,,LES AVINAUX,18500,419,,B,496,107,"63,1",Appartement,61,2,,,
AW150_19272_12,19272,38,,RUE,JEAN JAURES,19000,423,,AW,150,12,"40,37",Appartement,41,2,,,
AS527_22278_218,22278,29,F,BD,LAENNEC,22000,431,,AS,527,218,"72,91",Appartement,73,3,,,
BD578_22278_22,22278,25,B,RUE,CORDIERE,22000,431,,BD,578,22,"66,98",Appartement,65,3,,,
AC368_26211_106,26211,450,,AV,DES BOURDONNAS,26130,546,,AC,368,106,"95,67",Appartement,97,3,,,
XE40_27681_1,27681,14,,RUE,DE LA MADELEINE,27200,554,,XE,40,1,"81,88",Appartement,78,3,,,
AH24_28085_2,28085,25,,RUE,DU BOURG,28000,564,,AH,24,2,"31,61",Appartement,31,1,,,
AI511_28404_34,28404,16,,BD,CONDORCET,28500,585,,AI,511,34,"64,3",Appartement,64,3,,,
EM395_29019_25,29019,186,,RUE,JACQUELINE MAILLAN,29200,601,,EM,395,25,"79,09",Maison,79,4,,,
BP102_2A004_237,2A004,85,,CRS,NAPOLEON,20090,618,,BP,102,237,"113,09",Appartement,114,4,,,
BY151_2A004_7,2A004,6,,RUE,CONVENTIONNEL CHIAPPE,20000,616,,BY,151,7,"134,03",Appartement,140,4,,,
CK316_2A004_431,2A004,1,A,RES,DU PARC LUCIE LAVEZZI,20000,616,,CK,316,431,"35,15",Appartement,34,2,,,
BD261_30028_109,30028,61,,AV,DE L EUROPE,30200,717,,BD,261,109,"45,64",Appartement,42,3,,,
BY58_30133_32,30133,110,,RUE,PIERRE BROSSOLETTE,30240,663,,BY,58,32,"25,04",Appartement,24,1,,,
BH228_30202_3,30202,25,,RUE,DE LA PAROISSE,30130,711,,BH,228,3,"92,36",Maison,90,3,,,
AY755_30334_4,30334,9,,AV,JEAN JAURES,30700,698,,AY,755,4,"64,24",Appartement,66,3,,,
AN100_33011_80,33011,17,,AV,DES TOURTERELLES,33740,829,,AN,100,80,"73,12",Appartement,66,4,,,
CY219_33063_116,33063,13,,RUE,PIERRE LOTI,33800,796,,CY,219,116,"20,75",Appartement,21,1,,,
DH128_33063_6,33063,2,,PL,ANDRE MEUNIER DIT MUREINE,33800,796,,DH,128,6,"86,92",Appartement,67,3,,,
RT28_33063_122,33063,185,,CRS,BALGUERIE STUTTENBERG,33300,784,,RT,28,122,"46,31",Appartement,46,2,,,
BH328_33075_11,33075,46,,AV,CHARLES DE GAULLE,33520,785,,BH,328,11,"70,46",Appartement,70,3,,,
AM280_33080_40,33080,40,,RUE,DES FRENES,33140,811,,AM,280,40,"68,72",Maison,70,3,,,
BZ25_33097_14,33097,9001,,VGE,ARTS ET VIE,33121,877,,BZ,25,14,"24,16",Appartement,24,1,,,
AB305_33119_7,33119,28,,RUE,ARISTIDE BRIAND,33150,814,,AB,305,7,"76,38",Appartement,72,4,,,
AN474_33119_66,33119,21,,RUE,DU ONZE NOVEMBRE 1918,33150,814,,AN,474,66,"38,76",Appartement,38,1,,,
BA70_33138_57,33138,45,,RTE,DE L HIPPODROMME,33230,869,,BA,70,57,"64,53",Maison,65,3,,,
CO802_33243_1,33243,34,,RUE,FONNEUVE,33500,862,,CO,802,1,80,Appartement,85,2,,,
CM186_33281_19,33281,111,,RUE,PAUL DOUMER,33700,798,,CM,186,19,"60,6",Appartement,60,3,,,
FY783_33529_31,33529,1,,RUE,DES POILUS,33260,812,,FY,783,31,"42,56",Appartement,46,2,,,
GH469_33529_6,33529,29,,RUE,MICHEL LABARTHE,33260,812,,GH,469,6,"72,7",Appartement,73,4,,,
LN464_34003_16,34003,1,,RUE,LOUIS RUMEAU,34300,947,,LN,464,16,"71,01",Appartement,70,3,,,
AL72_34324_1101,34324,9,,CAMI,DE CANTO RANO (GRENOUILLE),34350,943,,AL,72,1101,"82,44",Appartement,82,4,,,
AE374_35236_5,35236,24,,RUE,DE FLEURIMONT,35600,1004,,AE,374,5,"16,47",Appartement,17,1,,,
BR624_35238_108,35238,6,,RUE,DE LA CRECHE,35000,965,,BR,624,108,"19,37",Appartement,20,1,,,
BM158_35360_8,35360,10,,RUE,JACQUELINE AURIOL,35500,1028,,BM,158,8,"57,37",Appartement,55,3,,,
BV105_38185_117,38185,7,,RUE,BAYARD,38000,1054,,BV,105,117,"17,5",Appartement,17,1,,,
EZ26_38185_81,38185,10,,CHE,DES ESSARTS,38100,1055,,EZ,26,81,"67,17",Appartement,68,3,,,
AC451_38191_54,38191,5555,,RES,LA MENANDIERE,38750,1097,,AC,451,54,"21,9",Appartement,25,1,,,
AB42_38309_22,38309,22,,ALL,LES COQUELICOTS,38320,1066,,AB,42,22,"92,6",Maison,97,5,,,
AR222_38548_2,38548,195,,RUE,DU COSSIE,38250,1102,,AR,222,2,"46,9",Appartement,46,2,,,
AB579_40279_6,40279,5,B,RUE,VICTOR HUGO,40990,1173,,AB,579,6,31,Appartement,32,2,,,
IM5_42218_55,42218,7,,RUE,DE LA METARE,42100,1205,,IM,5,55,"111,8",Appartement,105,6,,,
BV23_44047_17,44047,39,,RUE,FREDERIC CHOPIN,44220,1327,,BV,23,17,"42,12",Appartement,42,2,,,
AK220_44049_2,44049,22,,RUE,DU PILORI (VC1),44490,1349,,AK,220,2,"34,15",Appartement,35,1,,,
HS79_44109_17,44109,19,,RUE,MERCOEUR,44000,1277,,HS,79,17,"13,5",Appartement,16,1,,,
HW22_44109_110,44109,8,,RUE,BABONEAU,44100,1280,,HW,22,110,"66,85",Appartement,66,3,,,
IN647_44109_27,44109,12,,RUE,DOCTEUR VAN DER STAPPEN,44100,1280,,IN,647,27,"49,13",Appartement,48,2,,,
NS549_44109_372,44109,9,B,RUE,SAINT LOUIS,44300,1279,,NS,549,372,"17,85",Appartement,18,1,,,
BL185_44162_1370,44162,10,,RUE,DU DANUBE,44800,1282,,BL,185,1370,"89,33",Appartement,87,5,,,
CA489_44162_288,44162,14,,BD,DU TERTRE,44800,1282,,CA,489,288,"53,31",Appartement,55,2,,,
CE417_44162_26,44162,9,,RUE,SUZANNE LENGLEN,44800,1282,,CE,417,26,"47,3",Appartement,47,2,,,
CM67_44162_302,44162,8,,RUE,D AGEN,44800,1282,,CM,67,302,"71,95",Appartement,72,4,,,
DT452_44162_2,44162,2,,RUE,DES CALVAIRES,44800,1282,,DT,452,2,60,Appartement,61,3,,,
